近世経済データベース（2018年3月1日）,,,,,,,,,,,,,,,
和暦,西暦,月日,天気,経済的事象,自然災害・災害など,騒動,金相場最小値,金相場最高値,金相場メモ,銭相場最小値,銭相場最高値,銭相場メモ,米相場,米相場メモ,備考
文政8年,1825年,1月11日,曇天,,,,64.04,64.05,,9.36,9.37,,,「休日」,
文政8年,1825年,1月12日,天気、折々曇、暮時小雨,,,,64.15,64.16,,9.36,9.37,,59.9,筑前米,
文政8年,1825年,1月13日,天気、七ツ時前小雨,,,,64.15,64.16,,9.36,9.37,,59.7,筑前米,
文政8年,1825年,1月14日,天気,,,,64.14,64.15,,9.36,9.37,,,「休日」,
文政8年,1825年,1月15日,雨天,,,,,,,,,,,,「諸相庭休日」
文政8年,1825年,1月16日,天気,,,,,,,,,,,,「諸相庭休日」
文政8年,1825年,1月17日,朝小雨、昼後曇天、八ツ時頃霰,,,,63.99,64,,9.36,9.37,,59.5,筑前米,
文政8年,1825年,1月18日,曇天、八ツ時頃小雨雪,,,,64.02,64.03,,9.36,9.37,,59.5,筑前米,
文政8年,1825年,1月19日,天気,,,,64.04,64.05,,9.36,9.37,,59.5,筑前米,
文政8年,1825年,1月20日,天気,去年12月9日・26日着の新二朱判、引替済みにつき、三井分1万200両・住友分3000両を今朝江戸へ差し立てる。十人組も、住友分との都合1万6800両を差し立てる,,,64.06,64.07,,9.36,9.37,,,「休日」,
文政8年,1825年,1月21日,折々曇雪,,,,64.05,64.06,,9.36,9.37,,59.5,筑前米,
文政8年,1825年,1月22日,天気、余寒強、折々曇,,,,64.09,64.1,,9.36,9.37,,59.6,筑前米,
文政8年,1825年,1月23日,曇天、余寒強、折々少シツヽ雪,,,,64.09,64.1,,9.36,9.37,,59.1,筑前米,
文政8年,1825年,1月24日,天気,,,,64.02,64.03,,9.36,9.37,,59.9,筑前米,
文政8年,1825年,1月25日,天気,,,,64.02,64.03,,9.36,9.37,,,「休日」,
文政8年,1825年,1月26日,天気、折々雪聊,,,,64.02,64.03,,9.36,9.37,,59.6,筑前米,
文政8年,1825年,1月27日,天気,,,,64.06,64.07,,9.36,9.37,,59.8,筑前米,
文政8年,1825年,1月28日,天気,,,,64.05,64.07,,9.36,,,,「休日」,
文政8年,1825年,1月29日,天気,,,,64.01,,,9.37,9.38,,,「休日」,
文政8年,1825年,1月30日,天気,,,,64.03,64.04,,9.37,9.38,,59.7,筑前米,
文政8年,1825年,2月1日,雨天,,,,64.01,64.02,,9.37,9.38,,,「休日」,
文政8年,1825年,2月2日,天気,,,,63.81,63.82,,9.37,9.38,,,「休日」,
文政8年,1825年,2月3日,天気,,,,63.86,63.87,,9.37,9.38,,60.3,筑前米,
文政8年,1825年,2月4日,天気,,,,63.91,,,9.37,9.38,,60.8,筑前米,
文政8年,1825年,2月5日,朝之内曇、昼後雨,,,,63.86,63.87,,9.39,9.4,,60.8,筑前米,
文政8年,1825年,2月6日,天気,,,,63.84,63.85,,9.43,9.44,,59.5,筑前米,
文政8年,1825年,2月7日,天気,,,,63.79,63.8,,9.45,9.46,,59.8,筑前米,
文政8年,1825年,2月8日,天気,,,,63.78,63.79,,9.45,9.46,,59.8,筑前米,
文政8年,1825年,2月9日,天気,,,,63.83,63.84,,9.45,9.46,,59.9,筑前米,
文政8年,1825年,2月10日,天気,,,,63.88,63.89,,9.45,9.46,,59.9,筑前米,
文政8年,1825年,2月11日,天気、折々曇,,,,60,,ママ,9,,ママ,,,※十一日、十二日金錢相場記入未完
文政8年,1825年,2月12日,天気、暮時小雨,,,,60,,ママ,9,,ママ,,「休日」,
文政8年,1825年,2月13日,天気、折々曇,（この日、引替用新銀到着ヵ）,,,63.82,63.83,,9.45,9.46,,,,
文政8年,1825年,2月14日,天気,,,,63.82,63.83,,9.47,9.48,,,,
文政8年,1825年,2月15日,天気,,,,63.82,63.83,,9.47,9.48,,,「休日」,
文政8年,1825年,2月16日,天気、少し春暖,,,,63.85,63.86,,9.47,9.48,,,「休日」,
文政8年,1825年,2月17日,天気,,,,63.89,63.9,,9.47,9.48,,58.9,筑前米,
文政8年,1825年,2月18日,曇天、七ツ時頃より雨,,,,63.92,63.93,,9.45,9.5,,,筑前米,
文政8年,1825年,2月19日,雨天、七ツ時前より晴,十五軒組合の内、鴻善・米平・鴻庄別段引替用新銀、1月29日江戸より差し立てられ、今9つ時に到着。即刻それぞれへ渡す,,,63.93,63.94,,9.49,9.5,,58.1,筑前米,
文政8年,1825年,2月20日,天気、折々小雨,,,,64.03,64.04,,9.49,9.5,,58.4,筑前米,
文政8年,1825年,2月21日,天気,,,,64.09,64.1,,9.49,9.5,,58,筑前米,
文政8年,1825年,2月22日,天気,2月13日着の新銀、引替済みにつき、古銀400貫目（三井・住友分200貫目ずつ）を今朝江戸へ差し立てる。十人組も200貫目を同様に差し立てる／2月5日江戸発の新二朱判1万5000両、今昼時十人組へ着。うち5000両を受け取る,,,64.11,,,9.51,9.52,,,「休日」,
文政8年,1825年,2月23日,天気,（この日、引替用新二朱判到着ヵ）,,,64.11,64.12,,9.53,9.54,,57.6,筑前米,
文政8年,1825年,2月24日,曇天,,,,,,,,,,56.7,筑前米,
文政8年,1825年,2月25日,雨天,,,,64.02,64.03,,9.53,9.54,,57.9,筑前米,
文政8年,1825年,2月26日,天気,十五軒組合の内、鴻善右衛門・鴻新十郎別段引替用新銀900貫目、2月7日江戸発、今昼時到着。それぞれへ渡す,,,64.01,64.02,,9.53,9.54,,,「節前今日限」,
文政8年,1825年,2月27日,天気,,,,64.01,64.02,,9.53,9.54,,,,
文政8年,1825年,2月28日,朝之内雨、昼後晴,2月19日着の鴻池善右衛門ほか3軒別段引替用新銀、引替済みにつき、古銀900貫目を今朝江戸表へ差し立てる,,,64.01,64.02,,9.53,9.54,,,,
文政8年,1825年,2月29日,天気,,,,63.9,,,9.54,,,,,
文政8年,1825年,3月1日,曇天,,,,63.87,63.88,,9.49,9.5,,,,
文政8年,1825年,3月2日,雨天,,,,63.87,63.88,,9.49,9.5,,,,
文政8年,1825年,3月3日,天気,,,,,,,,,,,,「諸相場休」
文政8年,1825年,3月4日,雨天,,,,60,,ママ,9,,ママ,,,※記入未完
文政8年,1825年,3月5日,朝之内雨、昼後曇天,2月12日江戸十人組より大坂御金蔵へ差し立てた、新銀550貫目、一昨3日十人組へ到着、今日上納す。,,,63.78,63.79,,9.45,9.46,,57.4,筑前米,
文政8年,1825年,3月6日,天気,,,,,,,,,,,,
文政8年,1825年,3月7日,曇天,,,,63.94,63.95,,9.52,9.53,,,筑前米,
文政8年,1825年,3月8日,曇天,,,,64.01,,,9.52,9.53,,,筑前米,
文政8年,1825年,3月9日,雨天,,,,60,,ママ,9,,ママ,,,※記入未完
文政8年,1825年,3月10日,快晴,2月23日着の新二朱判、引替済みにつき、古二朱判5000両を今朝江戸へ差し立てる。十人組も住友分と合わせた1万両を同様に差し立てる,,,63.94,63.95,,9.52,9.53,,57.7,筑前米,
文政8年,1825年,3月11日,天気,,,,64.03,64.04,,9.52,9.53,,57.6,筑前米,
文政8年,1825年,3月12日,曇、八ツ時頃雨,,,,64.11,64.12,,9.52,9.53,,,筑前米,
文政8年,1825年,3月13日,夜中より雨、今朝四ツ時晴ル,鴻善の別段引替代り古銀900貫目、今朝江戸へ差し立てる,,,64.07,64.08,,9.52,9.53,,57.6,筑前米,
文政8年,1825年,3月14日,天気,,,,64.09,64.1,,9.52,9.53,,57.4,筑前米,
文政8年,1825年,3月15日,天気,,,,64.08,64.09,,9.52,9.53,,57.3,筑前米,
文政8年,1825年,3月16日,終日雨天,,,,64.03,64.04,,9.52,9.53,,,筑前米／「休日」,
文政8年,1825年,3月17日,曇天,,,,64.12,64.13,,9.52,9.53,,57.5,筑前米,
文政8年,1825年,3月18日,天気,,,,64.15,64.16,,9.52,9.53,,56.8,筑前米,
文政8年,1825年,3月19日,天気、七ツ時より雷雨、無程やむ,,,,64.11,,,9.55,9.56,,56.9,筑前米,
文政8年,1825年,3月20日,天気,江戸表より臨時為替（銀466貫762匁5分）を仰せつけらる。23日お渡しとのこと。,,,64.12,64.13,,9.55,9.56,,58,筑前米,
文政8年,1825年,3月21日,天気,,,,64.18,64.19,,9.57,9.58,,,「休日」,
文政8年,1825年,3月22日,昼後雨,,,,64.17,64.18,,9.55,9.6,,57.2,筑前米,
文政8年,1825年,3月23日,天気、折々曇,,,,64.29,64.3,,9.63,9.64,,57.3,筑前米,
文政8年,1825年,3月24日,天気,朝鮮人国役御為替銀、大坂西町奉行地方より仰せつけらる,,,64.29,64.3,,9.63,9.64,,57.3,筑前米,
文政8年,1825年,3月25日,曇天,,,,64.28,64.29,,9.65,9.66,,57.5,筑前米,
文政8年,1825年,3月26日,今暁より雨、昼後やむ、四ツ時過より又々強雨,,,,64.26,64.27,,9.65,9.66,,57.3,筑前米,
文政8年,1825年,3月27日,天気,,,,64.26,64.27,,9.69,9.7,,,筑前米,
文政8年,1825年,3月28日,天気,,,,64.31,,,9.72,,,56.7,筑前米,
文政8年,1825年,3月29日,天気,,,,64.25,64.26,,9.71,9.72,,57,筑前米,
文政8年,1825年,3月30日,天気,3月7日江戸発の鴻善・加作用の別段新銀600貫目、同11日江戸発の十五軒組合用の新二朱判1万5000両、ともに今昼時到着、それぞれへ渡す／3月7日江戸発の三手（三井・十人組・住友）分新二朱判1万5000両、十人組へ到着。うち5000両を受け取る／3月11日江戸発の十五軒組合のうち鴻善・加作用の別段新金2万両、今昼時十人組へ到着。それぞれへ渡す,,,64.23,64.24,,9.71,9.72,,,筑前米,
文政8年,1825年,4月1日,天気,,,,64,,ママ,9,,ママ,57,筑前米,※記入未完
文政8年,1825年,4月2日,天気,,,,64.35,64.36,,9.69,9.7,,57.1,筑前米,
文政8年,1825年,4月3日,天気,,,,,,,,,,,「休日」,
文政8年,1825年,4月4日,雨天,,,,64.34,64.35,,9.69,9.7,,57.2,筑前米,
文政8年,1825年,4月5日,雨天,,,,64.35,64.36,,9.71,9.72,,57.1,筑前米,
文政8年,1825年,4月6日,雨天,,,,64.34,64.35,,9.71,9.72,,54.1,筑前米／「マヽ」,
文政8年,1825年,4月7日,天気、折々雨,,,,64.28,64.29,,9.71,9.72,,57.1,筑前米,
文政8年,1825年,4月8日,天気,,,,64.41,,,9.71,9.72,,,「休日」,
文政8年,1825年,4月9日,曇天、昼後晴天,3月25日江戸発の鴻善・米平別段引替用新金2万5000両、今昼時到着。それぞれへ渡す／同日差し立ての三手引替用新銀600貫目、今昼時十人組へ到着。うち200貫目を受け取る,,,64.42,64.43,,9.71,9.72,,,筑前米,
文政8年,1825年,4月10日,曇天,3月30日着の鴻善・加作用の別段新金・新銀、引替済みにつき、古金2万両・古銀600貫目を江戸表に差し立てる,,,64.45,64.46,,9.71,9.72,,,筑前米,
文政8年,1825年,4月11日,天気、西風強,,,,64.51,64.52,,9.71,9.72,,57.3,筑前米,
文政8年,1825年,4月12日,天気,,,,64.45,64.46,,9.71,9.72,,,筑前米,
文政8年,1825年,4月13日,天気,3月30日着の新二朱判、引替済みにつき、古二朱判5000両を今朝江戸表へ差し立てる。十人組も、住友分と合わせて古二朱判1万両を同様に差し立てる／同日着十五軒組合分新二朱判も引替済みにつき、古二朱判1万5000両、今朝江戸へ差し立てる,,,64.43,64.44,,9.71,9.72,,57.4,筑前米,
文政8年,1825年,4月14日,天気,,,,64.43,64.44,,9.71,9.72,,,筑前米,
文政8年,1825年,4月15日,朝之内雨、四ツ時より晴ル,,,,64.46,64.47,,9.71,9.72,,57,筑前米,
文政8年,1825年,4月16日,終日大風雨,,,,64.51,,,9.73,9.74,,,「休日」,
文政8年,1825年,4月17日,天気,,,,64.52,64.53,,9.73,9.74,,,「休日」,
文政8年,1825年,4月18日,天気,,,,64.55,64.56,,9.72,9.73,,57.1,筑前米,
文政8年,1825年,4月19日,天気,,,,64.55,64.56,,9.73,9.74,,57,筑前米,
文政8年,1825年,4月20日,天気,4月9日着の新銀、引替済みにつき、古銀200貫目を今朝江戸へ差し立てる。十人組も住友分と合わせて400貫目を差し立てる,,,64.53,64.54,,9.73,9.74,,56.5,筑前米,
文政8年,1825年,4月21日,雨天,4月1日江戸発の鴻善・加作別段引替用新銀300貫目、今昼時到着。即刻それぞれへ渡す／4月6日江戸発の御金蔵納金1万両、十人組へ到着,,,64.44,64.45,,9.73,9.74,,,筑前米,
文政8年,1825年,4月22日,雨天、夕方少し雷鳴,3月28日江戸発の新銀900貫目、今昼時到着。300貫目ずつ十人組・住友へ渡す,,,64.41,64.42,,9.73,9.74,,57.1,筑前米,
文政8年,1825年,4月23日,天気,御金蔵より、三手引受の引替用新銀600貫目が十人組へ渡される。うち200貫目を受け取る,,,64.4,64.41,,9.73,9.74,,57,筑前米,
文政8年,1825年,4月24日,天気,,,,64.39,64.4,,9.73,9.74,,56.5,筑前米,
文政8年,1825年,4月25日,天気,,,,64.44,,,9.74,9.75,,57.1,筑前米,
文政8年,1825年,4月26日,天気,,,,64.46,64.47,,9.74,9.75,,57.7,筑前米,
文政8年,1825年,4月27日,曇天,,,,64,,ママ,9,,ママ,,「節前今日ヨリ休」,※記入未完
文政8年,1825年,4月28日,終日雨,,,,64.59,64.6,,9.74,9.75,,,,
文政8年,1825年,4月29日,終日雨,,27日より雨天続きのため、大川筋常水より9尺余満水。よって今夕通船なしとの情報（飛脚屋より）,,64.5,64.51,,9.76,9.77,,,,
文政8年,1825年,5月1日,雨天,,,,64.43,64.44,,9.76,9.77,,,「節前休」,
文政8年,1825年,5月2日,快晴,,,,64.39,64.4,,9.74,9.75,,,,
文政8年,1825年,5月3日,天気,,,,,,,,,,,,
文政8年,1825年,5月4日,天気,,,,,,,,,,,,
文政8年,1825年,5月5日,天気,,,,,,,,,,,,「諸相庭休日」
文政8年,1825年,5月6日,天気,,,,,,,,,,,,
文政8年,1825年,5月7日,天気,,,,,,,,,,,加賀米,
文政8年,1825年,5月8日,天気,,,,,,,,,,,加賀米,
文政8年,1825年,5月9日,雨天,,,,64.57,64.58,,10.04,10.05,,,加賀米,
文政8年,1825年,5月10日,終日雨天,,,,64.58,64.59,,10.08,10.09,,53.3,加賀米,
文政8年,1825年,5月11日,雨天,,,,64.61,64.62,,10.29,,,53.2,加賀米,
文政8年,1825年,5月12日,曇天,,,,64.61,64.62,,11.44,11.45,,53.9,加賀米,
文政8年,1825年,5月13日,天気,,,,64.64,64.65,,10.64,10.65,,53,加賀米,
文政8年,1825年,5月14日,天気,,,,64.65,64.66,,10.34,10.35,,53.9,加賀米,
文政8年,1825年,5月15日,天気、昼後曇,,,,64.61,,,10.19,10.2,,54,加賀米,
文政8年,1825年,5月16日,終日雨,正銀300貫目、今夕船にて差し登す,,,64.59,64.6,,9.99,10,,,加賀米／「休日」,
文政8年,1825年,5月17日,天気,,,,64.61,64.62,,10.14,10.15,,54.8,加賀米,
文政8年,1825年,5月18日,天気,,,,64.59,64.6,,10.01,10.02,,54.5,加賀米,
文政8年,1825年,5月19日,昨夜より雨、折々晴ル,,,,64.57,64.58,,10.01,10.02,,53.7,加賀米,
文政8年,1825年,5月20日,曇天,,,,64.57,64.58,,10.04,10.05,,53.7,加賀米,
文政8年,1825年,5月21日,天気,,,,64.57,64.58,,10.04,10.05,,52.7,加賀米,
文政8年,1825年,5月22日,天気,4月19日江戸発の三手分引替用新二朱判1万5000両、今昼時十人組へ到着。うち5000両受け取る／京都所司代・大坂城代役替の情報（江戸屋平右衛門より）,,,64.59,64.6,,10.16,10.17,,51.9,加賀米,
文政8年,1825年,5月23日,天気、八半時夕立,当日渡御為替銀とともに、御取下古二朱判1万両を受け取る,,,64.57,64.58,,10.19,10.2,,51.8,加賀米,
文政8年,1825年,5月24日,天気、夕方より北風強,十五軒組合のうち別口四軒分の引替用新銀900貫目到着。それぞれへ渡す,,,64.28,64.29,,10.2,,,51.4,加賀米,
文政8年,1825年,5月25日,天気、折々曇、夕方北風,,,,64.57,64.58,,10.22,10.23,,51.4,加賀米,
文政8年,1825年,5月26日,天気、折々雷,5月8日江戸発の十五軒組合分新二朱判1万5000両到着。それぞれへ渡す,,,64.54,64.55,,10.22,10.23,,51.9,加賀米,
文政8年,1825年,5月27日,曇天、北風冷気,,,,64.54,64.55,,10.32,10.33,,52.5,加賀米,
文政8年,1825年,5月28日,天気、折々曇、七ツ時より小雨、東北風冷気,,,,64.56,64.57,,10.24,10.25,,,「休日」,
文政8年,1825年,5月29日,天気,,,,64.58,64.59,,10.04,10.05,,51.9,加賀米,
文政8年,1825年,5月30日,夜中より今日終日雨,,,,64.58,64.59,,10.29,10.3,,52.4,加賀米,
文政8年,1825年,6月1日,雨、昼前後晴、又折々雨,,,,64.51,,,10.29,10.3,,,「休日」,
文政8年,1825年,6月2日,終日雨,,雨天続きのため、大川筋常水より5尺程出水。飛脚荷物も出ずとの情報（天満屋より）,,64.59,64.6,,10.07,10.08,,53.1,加賀米,
文政8年,1825年,6月3日,雨天、昼後晴ル、七ツ時小雨、後曇,,大川筋、今日は常水より9尺余満水,,64.59,64.6,,9.99,10,,54.1,加賀米,
文政8年,1825年,6月4日,今朝雨、五ツ前晴、折々曇,京都御為替上納金、大川筋満水により船が出ないため、御金方へ延納願いを出す,大川筋、水は引き落ちるも、今暮時頃時点で常水より5尺余満水、飛脚荷物は出ず,,64.59,64.6,,10.17,10.18,,,「休日」,
文政8年,1825年,6月5日,天気,,大川筋、追々引落、常水より4尺程とのこと,,64.56,64.57,,9.97,9.98,,54.8,加賀米,
文政8年,1825年,6月6日,天気,,,,64.55,64.56,,10.05,10.06,,,加賀米,
文政8年,1825年,6月7日,天気、暑甚敷,,,,64.59,,,10.06,,,,「休日」,
文政8年,1825年,6月8日,天気、暑気強,,,,64.68,64.69,,9.99,10,,52.4,加賀米,
文政8年,1825年,6月9日,天気,,,,64.68,64.69,,10.04,10.05,,,加賀米,
文政8年,1825年,6月10日,天気,,,,64.71,,,9.94,9.95,,,加賀米,
文政8年,1825年,6月11日,天気,,,,64.73,64.74,,9.91,9.92,,,加賀米,
文政8年,1825年,6月12日,天気,,,,64.86,64.87,,9.96,9.97,,53.8,加賀米,
文政8年,1825年,6月13日,天気,,,,64.88,64.89,,9.95,,,,加賀米,
文政8年,1825年,6月14日,天気,,,,65.03,65.04,,10,10.01,,,加賀米,
文政8年,1825年,6月15日,天気,,,,65.03,65.04,,10,10.01,,52.9,加賀米,
文政8年,1825年,6月16日,天気,,,,65.03,65.04,,10.01,,,,「休日」,
文政8年,1825年,6月17日,天気,,,,65.02,65.03,,10.02,10.03,,,「休日」,
文政8年,1825年,6月18日,天気,,,,65.05,65.06,,10.02,10.03,,51.2,加賀米,
文政8年,1825年,6月19日,朝曇、四つ時より雨、昼後晴ル,,,,65.05,65.06,,10.05,10.06,,51.5,加賀米,
文政8年,1825年,6月20日,天気,,,,65.07,65.08,,10.08,10.09,,51.8,加賀米,
文政8年,1825年,6月21日,天気,,,,65.07,65.08,,10.12,10.13,,51.9,加賀米,
文政8年,1825年,6月22日,天気、昼後小雨,,,,,,,,,,,,「座磨（摩）神事ニ付諸相庭休日」
文政8年,1825年,6月23日,朝曇、五半時より雨、昼後晴ル,,,,64.99,65,,10.09,10.1,,52,加賀米,
文政8年,1825年,6月24日,天気、七ツ時夕立,,,,64.97,64.98,,10.02,10.03,,,「休日」,
文政8年,1825年,6月25日,朝夕立、其後天気,,,,64.96,64.97,,10.09,10.1,,,「休日」,
文政8年,1825年,6月26日,天気,,,,64.94,64.95,,10.09,10.1,,,加賀米,
文政8年,1825年,6月27日,天気、朝夕涼敷,,,,64.94,64.95,,10.09,10.1,,51.7,加賀米,
文政8年,1825年,6月28日,天気,十五軒別口引替代古銀900貫目、三井・住友引替分の二朱判1万両、今朝江戸へ差し立てる／十五軒別口引替新金2万両、今日到着,,,64.87,64.88,,9.99,10,,51.4,加賀米,
文政8年,1825年,6月29日,天気,正金8000両・正銀260貫目を差し登せる,,,64.88,64.89,,9.99,10,,,「休日」,
文政8年,1825年,7月1日,終日雨中、北風冷気強,,,,64.94,64.95,,9.99,10,,51.9,加賀米,
文政8年,1825年,7月2日,朝の内曇、昼前より晴ル,今朝、引替えた古銀を江戸へ差し立てる（以降、引替関係記事が簡略化している）,,,64.97,64.98,,9.99,10,,52.6,加賀米,
文政8年,1825年,7月3日,朝曇、昼前天気、七ツ時小雨,,,,64.97,64.98,,9.99,10,,52.3,加賀米,
文政8年,1825年,7月4日,天気,6月11日江戸発の新銀、今日十人組へ到着。割合受取る。,,,65.03,65.04,,9.99,10,,52.6,加賀米,
文政8年,1825年,7月5日,朝曇、昼後天気、暮過より折々小雨,,,,64.89,64.9,,9.99,10,,53.7,加賀米,
文政8年,1825年,7月6日,曇天、折々小雨,,,,64.89,64.9,,10.02,10.03,,55,加賀米,
文政8年,1825年,7月7日,天気,,,,64.89,64.9,,10.02,10.03,,,「節前昨日限」,
文政8年,1825年,7月8日,朝之内小雨、昼後天気、七ツ時より雨天,,,,64.91,64.92,,10.12,,,,,
文政8年,1825年,7月9日,昨夜中大雨、今日終日小雨、冷気,,,,64.88,64.89,,10.01,10.02,,,,
文政8年,1825年,7月10日,天気,今朝、引替えた古二朱判を江戸へ差し立てる／江戸から大坂御金蔵への新二朱判が到着,,,64.87,64.88,,10.04,10.05,,,,
文政8年,1825年,7月11日,天気,引替用新銀、今日到着。加嶋作へ渡す／朝鮮人国役御為替銀、上納済む,,,64.89,64.9,,10.04,10.05,,,,
文政8年,1825年,7月12日,天気、残暑強,一昨日着の新二朱判、今日上納が済む,,,64.88,64.89,,10.06,10.07,,,,
文政8年,1825年,7月13日,天気,引替えた古銀を江戸へ差し立てる,,,64.71,64.72,,10.03,10.04,,,,
文政8年,1825年,7月14日,天気、折々曇,,,,64.59,64.6,,10.02,10.04,,,,
文政8年,1825年,7月15日,天気,,,,,,,,,,,,「諸相庭休日」
文政8年,1825年,7月16日,天気,,,,,,,,,,,,「諸相場休日」
文政8年,1825年,7月17日,天気,,,,64.51,64.52,,9.94,9.95,,53.6,加賀米,
文政8年,1825年,7月18日,天気、残暑強,,,,64.59,64.6,,10.02,10.03,,57.2,加賀米,
文政8年,1825年,7月19日,夜中より今暁まで大風雨大雷、今朝（ニ）至り止、夫より天気、昼八ツ時夕立、無程止,,,,64.49,64.5,,10.02,10.03,,55.4,加賀米,
文政8年,1825年,7月20日,天気、二百十日穏,,,,64.53,64.54,,10.02,10.03,,,「休日」,
文政8年,1825年,7月21日,天気、曇風,,,,64.55,64.56,,10.02,10.03,,56.2,加賀米,
文政8年,1825年,7月22日,朝天気、四ツ時小雨,,,,64.58,64.59,,10.02,10.03,,56.3,加賀米,
文政8年,1825年,7月23日,天気、昨夜中白雨強,,,,64.09,64.6,,10.02,10.03,,,「休日」,
文政8年,1825年,7月24日,天気、折々小雨,引替用新二朱判到着、三手割合す,,,64.67,64.68,,10.02,10.03,,,「休日」,
文政8年,1825年,7月25日,今朝雨、四ツ時より天気,,,,64.65,64.66,,10.02,10.03,,57.9,加賀米,
文政8年,1825年,7月26日,天気、折々曇、小雨,今朝引替代り銀、二朱判を差し立てる,,,64.62,64.63,,10.02,10.03,,58.2,加賀米,
文政8年,1825年,7月27日,曇天、七ツ時強雨、夕方大ニ秋冷,,,,64.57,64.58,,10.02,10.03,,58.7,加賀米,
文政8年,1825年,7月28日,昨夜より今朝まで雨強、其後曇、折々小雨,,,,64.97,64.98,,9.99,10,,60.5,加賀米,
文政8年,1825年,7月29日,天気,,,,64.52,64.53,,9.99,10,,59.1,加賀米,
文政8年,1825年,7月30日,天気,引替代り銀、今朝差し立てる,,,64.54,64.55,,9.99,10,,58.3,加賀米,
文政8年,1825年,8月1日,天気,,,,,,,,,,,,「諸相庭休日」
文政8年,1825年,8月2日,天気,,,,64.56,64.57,,9.99,10,,59,加賀米,
文政8年,1825年,8月3日,天気、暮過小雨,,,,64.56,64.57,,9.99,10,,59.5,加賀米,
文政8年,1825年,8月4日,天気,,,,64.49,64.5,,9.97,9.98,,59.5,加賀米,
文政8年,1825年,8月5日,天気,,,,64.45,64.46,,9.97,9.98,,,「休日」,
文政8年,1825年,8月6日,折々曇、七ツ時より小雨,,,,64.41,64.42,,9.97,9.98,,59,加賀米,
文政8年,1825年,8月7日,終日雨,,,,64.41,,,9.97,9.98,,59.4,加賀米,
文政8年,1825年,8月8日,,,,,64.48,64.49,,9.97,9.98,,,「休日」,
文政8年,1825年,8月9日,天気,,,,64.53,64.54,,9.97,9.98,,59.1,加賀米,
文政8年,1825年,8月10日,天気,,,,64.48,64.49,,9.97,9.98,,59.6,加賀米,
文政8年,1825年,8月11日,雨天,,,,64.45,64.46,,9.97,,,,「休日」,
文政8年,1825年,8月12日,天気、折々曇,,,,64.49,64.5,,9.95,9.96,,61.1,加賀米,
文政8年,1825年,8月13日,終日雨,,,,64.44,64.45,,9.95,9.96,,62,加賀米,
文政8年,1825年,8月14日,昨夜より雨、今朝より八ツ時頃迄大風雨、七ツ時より小雨、西風強,,,,64.41,64.42,,9.93,9.94,,63.2,加賀米,
文政8年,1825年,8月15日,天気,,13日夜からの雨により、今日大川筋、常水より1丈ほど満水のため、通船止まる,,64.44,64.45,,9.93,9.94,,,「休日」,
文政8年,1825年,8月16日,天気,,,,64.44,64.45,,9.93,9.94,,,「休日」,
文政8年,1825年,8月17日,昨夜より雨,,,,64.43,64.44,,9.93,9.94,,65.8,加賀米,
文政8年,1825年,8月18日,昼後迄小雨,,,,64.45,64.46,,9.93,9.94,,66.8,加賀米,
文政8年,1825年,8月19日,天気、折々曇,,,,64.44,64.45,,9.93,9.94,,66.8,加賀米,
文政8年,1825年,8月20日,終日雨,,,,64.46,64.47,,9.93,9.94,,66.4,加賀米,
文政8年,1825年,8月21日,雨天,引替用新銀が切れたため、三手（三井・十人組・住友）へ600貫目、御金蔵よりお渡し下さるよう願い出る。明後23日に渡されるはず,,,64.48,64.49,,9.93,9.94,,65.3,加賀米,
文政8年,1825年,8月22日,天気,,,,64.49,64.5,,9.89,9.9,,66.3,加賀米,
文政8年,1825年,8月23日,天気,引替用新銀を受け取る,,,64.52,64.53,,9.89,9.9,,66.8,加賀米,
文政8年,1825年,8月24日,天気、暮前小雨,,,,64.54,64.55,,9.84,9.85,,66.5,加賀米,
文政8年,1825年,8月25日,天気,,,,64.54,64.55,,9.84,9.85,,64.5,加賀米,
文政8年,1825年,8月26日,曇天,,,,64.51,64.52,,9.71,9.72,,64.6,加賀米,
文政8年,1825年,8月27日,朝之内雨、昼後曇天,,,,64.54,64.55,,9.71,9.72,,65.5,加賀米,
文政8年,1825年,8月28日,天気,,,,64.54,64.55,,9.73,9.74,,65.9,加賀米,
文政8年,1825年,8月29日,天気,,,,64.53,64.54,,9.77,9.78,,61.8,加賀米,
文政8年,1825年,9月1日,天気,,,,64.56,64.57,,9.84,9.85,,63.8,加賀米,
文政8年,1825年,9月2日,天気,,,,64.56,64.57,,9.84,9.85,,62.9,加賀米,
文政8年,1825年,9月3日,天気,,,,64.56,64.57,,9.86,9.87,,,「休日」,
文政8年,1825年,9月4日,天気,,,,64.57,64.58,,9.86,9.87,,,「建替休」,※原本ニ「節前休日」ト書キテ之ヲ建替休ト書直シテアレドモ、モトノ如ク節前休日トスル方正シカルベシ、尚本表ニヨリテ前例ヲ通覧スベシ
文政8年,1825年,9月5日,曇天、折々小雨,,,,64.57,64.58,,9.86,9.87,,,,
文政8年,1825年,9月6日,天気、秋冷強,引替用新金到着。鴻善ほか2名へ渡す,,,64.6,64.61,,9.83,9.84,,,,
文政8年,1825年,9月7日,天気,,,,64.59,64.6,,9.83,9.84,,,,
文政8年,1825年,9月8日,今暁より雨、五つ時頃より折々小雨,,,,64.59,64.6,,9.83,9.84,,,,
文政8年,1825年,9月9日,天気、暖気,引替用新二朱判到着,,,,,,,,,,,「諸相庭休日」
